
1,TS,Fiama Soaps Gel,FDW CLEAR SPRINGS 125 GMS,60,
2,TS,Fiama Soaps Gel,FDW CLEAR SPRINGS 125GMSX3,180,not found,not found
3,TS,Fiama Soaps Gel,FDW EXOTIC DREAM 125GMS,60,not found,not found
4,TS,Fiama Soaps Gel,FDW EXOTIC DREAM 125GMSX3,180,not found,not found
5,TS,Fiama Soaps Gel,FDW LA FANTASIA 125GMS,60,not found,not found
6,TS,Fiama Soaps Gel,FDW LA FANTASIA 125GMSX3,180,not found,not found
7,TS,Fiama Soaps Gel,FDW LA FANTASIA 75GMS,36,not found,not found
8,TS,Fiama Soaps Gel,FDW MILD DEW 125GMSX3,180,not found,not found
9,TS,Fiama Soaps Gel,FDW MILD DEW SOAP 115 GMS,60,not found,not found
10,TS,Fiama Soaps Gel,FDW MILD DEW SOAP 75G,36,not found,not found
11,TS,Fiama Soaps Gel,FDW NATURE YOUNG 125GMS,60,not found,not found
12,TS,Fiama Soaps Gel,FDW NATURE YOUNG 75GMS,36,not found,not found
13,TS,Fiama Soaps Gel,FDW PURE RIO SPLASH 125GMS,60,
14,TS,Fiama Soaps Gel,FDW PURE RIO SPLASH 125GMSX3,180,
15,TS,Fiama Soaps Gel,FDW PURE RIO SPLASH 125GMSX3,180,not found,not found
