No,TimeStamp,Category,Sub Category,SKU Description,url,Product ID,Price,MRP,Selling Price,In Stock
1,Tiolet Soaps,Fiama Soaps Gel,FDW CLEAR SPRINGS 125 GMS,-,
2,Tiolet Soaps,Fiama Soaps Gel,FDW CLEAR SPRINGS 125GMSX3,http://www.shopclues.com/fdw-clear-spring-gel-bar-125gmsx3--fdw-soap-75gms-free.html,
3,Tiolet Soaps,Fiama Soaps Gel,FDW EXOTIC DREAM 125GMS,-,
4,Tiolet Soaps,Fiama Soaps Gel,FDW EXOTIC DREAM 125GMSX3,http://www.shopclues.com/fdw-exotic-dream-gel-bar-125gmsx3--fdw-soap-75gms-free.html,
5,Tiolet Soaps,Fiama Soaps Gel,FDW LA FANTASIA 125GMS,-,
6,Tiolet Soaps,Fiama Soaps Gel,FDW LA FANTASIA 125GMSX3,http://www.shopclues.com/fdw-la-fantasia-gel-bar-125gmsx3--fdw-soap-75gms-free-1.html,
7,Tiolet Soaps,Fiama Soaps Gel,FDW LA FANTASIA 75GMS,-,
8,Tiolet Soaps,Fiama Soaps Gel,FDW MILD DEW 125GMSX3,-,
9,Tiolet Soaps,Fiama Soaps Gel,FDW MILD DEW SOAP 125 GMS,-,
10,Tiolet Soaps,Fiama Soaps Gel,FDW MILD DEW SOAP 75G,-,
11,Tiolet Soaps,Fiama Soaps Gel,FDW PURE RIO SPLASH 125GMS,-,
12,Tiolet Soaps,Fiama Soaps Gel,FDW PURE RIO SPLASH 125GMSX3,http://www.shopclues.com/fdw-pure-rio-splash-gel-bar-125gmsx3--fdw-soap-75gms-free.html,
13,Tiolet Soaps,Fiama Soaps Gel,FDW PURE RIO SPLASH 75GMS,-,
14,Tiolet Soaps,FDW Men Soaps,FDW MEN ENERGIZING SPORT 125GMS,-,
15,Tiolet Soaps,FDW Men Soaps,FDW MEN ENERGIZING SPORT 125GMSX3,http://www.shopclues.com/watsons-shower-gel.html,No
